City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
481,Sattahip,TH,80.6,12.67,100.9,Makmai Sailom Heights
482,Nueva Guinea,NI,75.31,11.69,-84.46,Posadita La Reyna
485,Kilindoni,TZ,78.84,-7.91,39.67,Bustani B&B
491,Quatre Cocos,MU,73.99,-20.21,57.76,Emeraude Beach Attitude Hotel
492,Nuevo Progreso,MX,79.0,23.17,-97.95,Balneario Rio el Paraiso
493,Ahuimanu,US,82.4,21.44,-157.84,Paradise Bay Resort
495,Inirida,CO,75.49,3.87,-67.92,Fuente del Guania Hotel de Lujo
496,Juegang,CN,69.01,32.32,121.19,Rudong Y Hotel
500,Tessalit,ML,76.77,20.2,1.01,
503,Mabaruma,GY,75.24,8.2,-59.78,
507,Nasriganj,IN,66.9,25.05,84.33,Birendra Utsav Niketan
508,Naze,JP,75.2,28.37,129.48,奄美ポートタワーホテル
511,Tres Picos,MX,80.98,15.87,-93.53,HOTEL TRES PICOS
512,Gondal,IN,75.2,21.97,70.8,Orchard Palace
514,Tak,TH,73.4,16.58,98.83,
516,Khanpur,PK,65.98,28.65,70.66,VIP shama biryani khanpur
518,Alvorada,BR,78.26,-12.48,-49.12,Cristal Plaza Hotel
519,Tapejara,BR,68.18,-28.07,-52.01,Hotel Fontana
522,Houma,US,68.0,29.6,-90.72,Courtyard by Marriott Houma
531,Campoverde,PE,81.91,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
533,Veraval,IN,80.4,20.9,70.37,Lords Inn Somnath
534,Bardiyah,LY,68.81,31.76,25.09,بورتو بردية
535,Shakawe,BW,71.49,-18.37,21.85,Ditlhapi Guest House
540,Matara,LK,77.76,5.95,80.54,Amaloh Boutique Resort
543,Sao Lourenco Do Sul,BR,71.01,-31.37,-51.98,Hotel Pousada Verde Água
548,Richards Bay,ZA,69.51,-28.78,32.04,BON Hotel Waterfront Richards Bay
554,Tallahassee,US,71.6,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
555,Acajutla,SV,69.01,13.59,-89.83,Stop.
556,Elizabeth City,US,69.8,36.29,-76.25,Hampton Inn Elizabeth City
558,Shimoda,JP,68.0,34.67,138.95,Shimoda Tokyu Hotel
561,Tual,ID,82.36,-5.67,132.75,Grand Vilia Hotel
567,Florianopolis,BR,71.6,-27.61,-48.5,Hotel Boutique Quinta das Videiras
568,Saint-Leu,RE,73.4,-21.15,55.28,La Caz Oceane
569,Shenjiamen,CN,67.03,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
573,Gushikawa,JP,77.0,26.35,127.87,Kirari Guest House
574,Soyo,AO,76.26,-6.13,12.37,Hotel Mpampa
576,San Pedro,PH,82.4,14.35,121.02,OYO 412 Viewfort Venue
577,Bathsheba,BB,80.6,13.22,-59.52,Atlantis Hotel
579,Gwadar,PK,73.8,25.12,62.33,Sadaf Resort
580,Sochi,RU,66.0,43.6,39.73,Bounty Hotel
581,Maraa,BR,75.69,-1.83,-65.37,
582,Teguise,ES,68.0,29.06,-13.56,B&B La Casona de Nazaret
584,San Vicente,AR,74.32,-26.62,-54.13,Complejo Turístico Farelluk
585,Alice Springs,AU,69.8,-23.7,133.88,Desert Palms Alice Springs
588,Progreso,MX,79.0,21.28,-89.67,Playa Linda Hotel
592,La Asuncion,VE,81.45,11.03,-63.86,Colinas de Matasiete
593,Wattegama,LK,73.4,6.8,81.48,
596,Tateyama,JP,68.0,34.98,139.87,Tateyama Seaside Hotel
597,Arenal,CO,77.74,8.46,-73.94,Hotel Azteca
598,San Bernardino,US,70.0,34.67,-116.17,
600,Caba,PH,83.79,16.43,120.34,Villa Navarro Resort
603,Grand Gaube,MU,73.99,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
606,Pagudpud,PH,84.2,18.56,120.79,Saud Beach Resort and Hotel - 2
610,Dhidhdhoo,MV,82.11,6.88,73.1,Dhidhoo beach
611,Giyani,ZA,72.75,-23.3,30.72,Kulani Country Lodge
612,Virginia Beach,US,68.0,36.85,-75.98,Hilton Virginia Beach Oceanfront
615,Saint-Paul,RE,73.4,-21.01,55.27,Boucan Canot
616,Upington,ZA,75.2,-28.45,21.26,River Place Manor
617,Umm Lajj,SA,78.33,25.02,37.27,Moon light Furnished Units
618,Swamimalai,IN,77.68,10.95,79.33,Paradise Resort
622,Galveston,US,77.0,29.37,-94.97,Comfort Inn & Suites Texas City
623,Hue,VN,77.0,16.47,107.6,Saigon Morin Hotel
627,Muisne,EC,75.02,0.6,-80.03,Quinta Samay
629,Manoel Urbano,BR,72.66,-8.84,-69.26,Baixada Beira Rio
